Cell.Interaction,Odds.Ratio,P-Value,BH-Adjusted.P-Value,Time.Point
CD4.PD1.T_Treg,1.86793013259398,0.00253184688133634,0.080667267754471,Baseline
CD4.PD1.T_M2,1.40868676353389,0.00612550246284779,0.080667267754471,Baseline
CD20.B_CD4.TCF1.T,1.41820981008115,0.00653579447204813,0.080667267754471,Baseline
CD4.PD1.T_cDC,1.34628422548258,0.00708912517065637,0.080667267754471,Baseline
CD20.B_cDC,1.26563862121112,0.00733338797767918,0.080667267754471,Baseline
CD8.GZMB.T_cDC,1.33014890326789,0.0118955956780338,0.0871816335856267,Baseline
CD8.GZMB.T_M2,1.33681610627335,0.0155349936471051,0.0871816335856267,Baseline
CD8.GZMB.T_Treg,1.53960514905498,0.0160065157988734,0.0871816335856267,Baseline
CD20.B_M2,1.22001126968521,0.0167219689899675,0.0871816335856267,Baseline
CD20.B_Treg,1.29841619336672,0.0169635212612362,0.0871816335856267,Baseline
CD20.B_CD8.TCF1.T,1.37721645940405,0.0174363267171253,0.0871816335856267,Baseline
CD79a.Plasma_cDC,1.21908149631375,0.0302293981096856,0.138551408002726,Baseline
CD79a.Plasma_M2,1.23115574778361,0.0342280457588505,0.144810962825906,Baseline
CD4.PD1.T_CD4.TCF1.T,1.27604801035917,0.0454932861175901,0.17872362403339,Baseline
CD8.GZMB.T_CD4.TCF1.T,1.26434866074028,0.0699124829753006,0.256345770909435,Baseline
CD79a.Plasma_Treg,1.21452968179309,0.0845345458770363,0.290587501452312,Baseline
CD4.PD1.T_CD8.TCF1.T,1.24246339513584,0.0904821015054233,0.29273621075284,Baseline
CD20.B_CD8.PD1.Tex,1.17212035791369,0.102592274159636,0.313476393265553,Baseline
CD56.NK_cDC,1.16846257544311,0.108298937110145,0.313496923213578,Baseline
CD8.TCF1.T_cDC,1.16252874602678,0.147242365334877,0.370024034716207,Baseline
CD79a.Plasma_CD4.TCF1.T,1.14532816817348,0.151316064754485,0.370024034716207,Baseline
CD20.B_CD56.NK,1.12899018336726,0.154509209314444,0.370024034716207,Baseline
CD8.PD1.Tex_cDC,1.12552506832665,0.1600846818369,0.370024034716207,Baseline
CD8.PD1.Tex_M2,1.1536475067247,0.164489923427213,0.370024034716207,Baseline
CD8.GZMB.T_CD8.TCF1.T,1.19317566838619,0.168192743052822,0.370024034716207,Baseline
Treg_cDC,1.16883634066024,0.208900341448553,0.428774812701288,Baseline
CD4.PD1.T_CD8.PD1.Tex,1.15623073562128,0.210489453507905,0.428774812701288,Baseline
CD56.NK_M2,1.10418035186176,0.242714707821672,0.476761033221141,Baseline
CD4.TCF1.T_cDC,1.12737274622863,0.257942722213469,0.487099463023001,Baseline
CD79a.Plasma_CD8.TCF1.T,1.11042229138727,0.265690616194364,0.487099463023001,Baseline
CD8.TCF1.T_M2,1.09709972861088,0.312004831151353,0.533660146853348,Baseline
CD4.PD1.T_CD56.NK,1.09552601460395,0.322384721394536,0.533660146853348,Baseline
CD8.GZMB.T_CD8.PD1.Tex,1.12291344089861,0.327953153655815,0.533660146853348,Baseline
CD20.B_CD8.GZMB.T,1.11097055709498,0.329898999872978,0.533660146853348,Baseline
Treg_M2,1.11759151018562,0.374580840130036,0.588627034490057,Baseline
CD8.GZMB.T_CD56.NK,1.08435684165081,0.418238214326473,0.62643174828662,Baseline
CD20.B_CD79a.Plasma,1.08112851977388,0.426285323512602,0.62643174828662,Baseline
CD79a.Plasma_CD8.PD1.Tex,1.06665389361118,0.439482869094517,0.62643174828662,Baseline
CD8.PD1.Tex_Treg,1.09170913147904,0.444197057875967,0.62643174828662,Baseline
CD79a.Plasma_CD56.NK,1.05954057080721,0.468522862124765,0.638554783283939,Baseline
CD56.NK_Treg,1.07294595226334,0.487647395871154,0.638554783283939,Baseline
CD4.TCF1.T_M2,1.06286226774868,0.498117430471335,0.638554783283939,Baseline
CD20.B_CD4.PD1.T,1.07450981597164,0.499233739658352,0.638554783283939,Baseline
CD8.PD1.Tex_CD4.TCF1.T,1.05696891912066,0.555004034896917,0.687827852540622,Baseline
CD56.NK_CD4.TCF1.T,1.05173723453392,0.568072334187075,0.687827852540622,Baseline
CD8.TCF1.T_Treg,1.08150498609266,0.575274203943066,0.687827852540622,Baseline
CD8.TCF1.T_CD4.TCF1.T,1.06580736594514,0.631297390267056,0.738752265206129,Baseline
CD4.PD1.T_CD8.GZMB.T,1.07126314493686,0.663896098821344,0.760714279899457,Baseline
M2_cDC,1.03365874055973,0.739933982665993,0.830538143808768,Baseline
CD8.PD1.Tex_CD8.TCF1.T,1.03108707054933,0.773672549486318,0.836034816454366,Baseline
CD56.NK_CD8.TCF1.T,1.02885654258042,0.775232284348594,0.836034816454366,Baseline
CD4.PD1.T_CD79a.Plasma,1.0210022436329,0.847519674086238,0.896415039898905,Baseline
CD79a.Plasma_CD8.GZMB.T,1.00930343554524,0.924359122880371,0.95924059921548,Baseline
CD4.TCF1.T_Treg,1.00660346012306,0.959055894458837,0.976816188800667,Baseline
CD56.NK_CD8.PD1.Tex,1.00117398999855,0.988918423724204,0.988918423724204,Baseline
CD8.GZMB.T_Treg,2.42499735129069,0.00018994079156156,0.0104467435358858,On-treatment
CD8.PD1.Tex_Treg,1.55074947419209,0.00165981713982816,0.0456449713452744,On-treatment
CD8.PD1.Tex_cDC,1.33635756878821,0.00349223569462118,0.056185469175633,On-treatment
CD8.GZMB.T_cDC,1.42545462643362,0.00408621594004604,0.056185469175633,On-treatment
CD20.B_cDC,1.2326881767666,0.00826674460754681,0.084561599738667,On-treatment
CD8.TCF1.T_Treg,1.63713025661608,0.00922490178967276,0.084561599738667,On-treatment
CD20.B_Treg,1.26818373497264,0.0114851266844972,0.090128564104828,On-treatment
CD8.PD1.Tex_CD4.PD1.T,1.39758255790315,0.0153731688829341,0.090128564104828,On-treatment
CD8.GZMB.T_CD4.TCF1.T,1.41219855210995,0.0178410380398973,0.090128564104828,On-treatment
CD20.B_CD4.TCF1.T,1.2684037710739,0.0184342801181615,0.090128564104828,On-treatment
CD8.TCF1.T_cDC,1.2998302044134,0.0194625046759819,0.090128564104828,On-treatment
CD20.B_CD79a.Plasma,1.313507422749,0.0217537532070091,0.090128564104828,On-treatment
CD8.GZMB.T_CD4.PD1.T,1.48933208961424,0.0239375896338639,0.090128564104828,On-treatment
CD8.PD1.Tex_CD4.TCF1.T,1.25865011556241,0.026044696577957,0.090128564104828,On-treatment
CD20.B_CD56.NK,1.21822202957352,0.0271361297607927,0.090128564104828,On-treatment
CD8.PD1.Tex_CD56.NK,1.24107424907856,0.0273233683492193,0.090128564104828,On-treatment
CD8.GZMB.T_CD56.NK,1.32116975203721,0.0278579198142196,0.090128564104828,On-treatment
M2_cDC,1.29275877697331,0.0343465446604713,0.10494777535144,On-treatment
CD20.B_CD4.PD1.T,1.22787563760773,0.0414510467954374,0.119989872302582,On-treatment
CD8.PD1.Tex_CD79a.Plasma,1.20704560526619,0.0677680578185648,0.183654242190826,On-treatment
CD4.PD1.T_Treg,1.52420214299825,0.0703924910987159,0.183654242190826,On-treatment
CD8.PD1.Tex_M2,1.22786505862137,0.0753583774696712,0.183654242190826,On-treatment
CD8.TCF1.T_CD4.TCF1.T,1.31695053567713,0.0768008649161634,0.183654242190826,On-treatment
M2_Treg,1.30643799476341,0.0932310095220752,0.213654396821422,On-treatment
CD4.PD1.T_cDC,1.18448488939681,0.101431858141723,0.223150087911791,On-treatment
CD4.TCF1.T_cDC,1.21921419075702,0.123382181297836,0.261000768130038,On-treatment
CD8.TCF1.T_CD56.NK,1.19504527666393,0.136107021043223,0.277255042865824,On-treatment
CD20.B_M2,1.12407132000568,0.14434174533652,0.277885282882663,On-treatment
CD8.PD1.Tex_CD8.TCF1.T,1.20884254374975,0.146521330974495,0.277885282882663,On-treatment
CD79a.Plasma_cDC,1.12565772526714,0.161152624128377,0.293073489049788,On-treatment
CD8.GZMB.T_M2,1.18924704211567,0.165186875646244,0.293073489049788,On-treatment
CD20.B_CD8.TCF1.T,1.1479852949621,0.171804391384536,0.295288797692171,On-treatment
CD8.GZMB.T_CD79a.Plasma,1.12456010253429,0.207391888594714,0.345653147657856,On-treatment
CD56.NK_cDC,1.12907148300021,0.243398645118164,0.393733102397029,On-treatment
CD8.TCF1.T_CD4.PD1.T,1.17976794475321,0.260523269772146,0.409393709641943,On-treatment
Treg_cDC,1.12505107506768,0.318073832199803,0.485946132527477,On-treatment
CD8.GZMB.T_CD8.TCF1.T,1.14747037498515,0.345339779838659,0.513342915976385,On-treatment
M2_CD56.NK,1.10890291230533,0.356988954409954,0.516694539277565,On-treatment
CD79a.Plasma_Treg,1.09192643755608,0.381371825497631,0.537832061599224,On-treatment
M2_CD4.TCF1.T,1.09384104009419,0.431875187149529,0.588100373619224,On-treatment
CD8.TCF1.T_CD79a.Plasma,1.08612674698148,0.438402096697967,0.588100373619224,On-treatment
CD4.PD1.T_CD56.NK,1.09243956605368,0.484870775037431,0.634949824453779,On-treatment
CD4.TCF1.T_Treg,1.10395358033217,0.520958515707233,0.666342287532508,On-treatment
CD20.B_CD8.GZMB.T,1.05401437259898,0.535554553522018,0.669443191902523,On-treatment
CD8.TCF1.T_M2,1.07428040388575,0.549985011089716,0.672203902442986,On-treatment
CD4.PD1.T_CD4.TCF1.T,1.07729539865809,0.578999276071219,0.685856968403128,On-treatment
CD79a.Plasma_CD56.NK,1.050261823676,0.587078659768083,0.685856968403128,On-treatment
CD8.PD1.Tex_CD8.GZMB.T,1.0574587546571,0.598566081515457,0.685856968403128,On-treatment
CD79a.Plasma_CD4.TCF1.T,1.05267877903549,0.626216731896199,0.702896331720224,On-treatment
M2_CD4.PD1.T,1.04895265433957,0.714257876104248,0.785683663714673,On-treatment
CD56.NK_Treg,1.04319500861173,0.731398586809288,0.788763181853154,On-treatment
CD20.B_CD8.PD1.Tex,1.01883327235277,0.83396391199001,0.866886599546759,On-treatment
M2_CD79a.Plasma,1.01870804106057,0.835363450472331,0.866886599546759,On-treatment
CD4.TCF1.T_CD56.NK,1.01935521121923,0.869046653490373,0.885140110036491,On-treatment
CD79a.Plasma_CD4.PD1.T,1.00598593533822,0.957321800041791,0.957321800041791,On-treatment
M2_Treg,2.07018866177785,1.23293816052044e-05,0.000385807678407268,Post-treatment
CD8.TCF1.T_Treg,2.24073690085825,1.67250141200006e-05,0.000385807678407268,Post-treatment
CD56.NK_Treg,1.62272568196945,2.1044055185851e-05,0.000385807678407268,Post-treatment
CD79a.Plasma_Treg,1.68623421113389,5.67945026926432e-05,0.000780924412023845,Post-treatment
CD8.GZMB.T_Treg,1.86699144115016,0.000148534207113299,0.00163387627824629,Post-treatment
CD4.TCF1.T_Treg,1.63668135495826,0.000270741918276714,0.00248180091753654,Post-treatment
CD8.PD1.Tex_Treg,1.50068926298096,0.000724919041510622,0.00569579246901203,Post-treatment
cDC_Treg,1.49744328985169,0.00114398222952368,0.00786487782797531,Post-treatment
M2_CD4.PD1.T,1.50025166151997,0.00215714492358643,0.0125938895842648,Post-treatment
CD4.PD1.T_Treg,1.64001451417102,0.00236680512373403,0.0125938895842648,Post-treatment
CD56.NK_CD4.PD1.T,1.35679625531536,0.00273493470116156,0.0125938895842648,Post-treatment
M2_cDC,1.61217174239192,0.00274775772747596,0.0125938895842648,Post-treatment
CD8.TCF1.T_CD4.PD1.T,1.46843358587764,0.0062894518138617,0.0266092192124918,Post-treatment
CD20.B_Treg,1.2614773005418,0.00885017978906337,0.0347685634570347,Post-treatment
M2_CD8.GZMB.T,1.38983369327973,0.014085415211073,0.0516465224406011,Post-treatment
CD56.NK_cDC,1.26275391299118,0.0171640627074923,0.059001465557005,Post-treatment
CD56.NK_CD8.GZMB.T,1.24759143365077,0.0242231000723935,0.0783688531753908,Post-treatment
CD79a.Plasma_CD4.PD1.T,1.23992985437451,0.033058666341621,0.101012591599397,Post-treatment
M2_CD8.PD1.Tex,1.28880774508207,0.0395748616148863,0.110482926430221,Post-treatment
CD56.NK_CD8.PD1.Tex,1.22794137071713,0.0401756096109894,0.110482926430221,Post-treatment
CD56.NK_CD4.TCF1.T,1.18642737997895,0.0577470571153568,0.151242292444982,Post-treatment
CD56.NK_CD20.B,1.12232365177,0.0885339285330081,0.22133482133252,Post-treatment
M2_CD4.TCF1.T,1.17157342297943,0.0979879888474286,0.23431910376559,Post-treatment
CD8.PD1.Tex_CD4.PD1.T,1.21815275793436,0.111386090594369,0.255259790945429,Post-treatment
CD8.TCF1.T_CD8.GZMB.T,1.24994475576386,0.117700632577085,0.258941391669586,Post-treatment
CD8.GZMB.T_CD4.PD1.T,1.25159216022098,0.124750274172433,0.263894810749378,Post-treatment
M2_CD20.B,1.10761622558273,0.139915795398744,0.285013657293737,Post-treatment
CD4.TCF1.T_CD4.PD1.T,1.18002315784284,0.145866782526972,0.286524037106552,Post-treatment
CD8.TCF1.T_CD4.TCF1.T,1.2372407607867,0.171608821704983,0.316925610085785,Post-treatment
CD8.TCF1.T_CD20.B,1.16593427759266,0.172868514592247,0.316925610085785,Post-treatment
CD79a.Plasma_CD8.GZMB.T,1.14432824837087,0.193460296390414,0.336700467438998,Post-treatment
CD8.TCF1.T_cDC,1.13931903777161,0.19589845378269,0.336700467438998,Post-treatment
CD79a.Plasma_cDC,1.11662719803039,0.210941864879729,0.342354038353616,Post-treatment
CD56.NK_CD8.TCF1.T,1.12459919520519,0.211637041891326,0.342354038353616,Post-treatment
CD79a.Plasma_CD20.B,1.10679346134089,0.238657121056826,0.375032618803583,Post-treatment
CD79a.Plasma_CD4.TCF1.T,1.13837126146701,0.250516924676761,0.382734190478385,Post-treatment
cDC_CD4.PD1.T,1.14751624193351,0.261902010507674,0.383609030033533,Post-treatment
CD56.NK_CD79a.Plasma,1.10921849759676,0.265038966204987,0.383609030033533,Post-treatment
CD8.TCF1.T_CD8.PD1.Tex,1.14993286074725,0.275581922108215,0.388641172203893,Post-treatment
CD79a.Plasma_CD8.PD1.Tex,1.10447063491911,0.318632837045594,0.438120150937691,Post-treatment
M2_CD8.TCF1.T,1.10302167016602,0.334098014779037,0.448180263727977,Post-treatment
CD20.B_CD4.PD1.T,1.07863468701045,0.388210495412515,0.508370886849723,Post-treatment
M2_CD79a.Plasma,1.06936226030506,0.458428468765413,0.586361994932505,Post-treatment
CD8.PD1.Tex_cDC,1.0549144228509,0.627054718806988,0.783818398508735,Post-treatment
CD56.NK_M2,1.05225100379603,0.65150150326299,0.79627961509921,Post-treatment
CD4.TCF1.T_cDC,1.036967534281,0.699052086434148,0.818242461103796,Post-treatment
CD4.TCF1.T_CD20.B,1.04418403401759,0.699225375852334,0.818242461103796,Post-treatment
CD8.PD1.Tex_CD8.GZMB.T,1.0407729988685,0.741644132514561,0.835095251393291,Post-treatment
CD4.TCF1.T_CD8.GZMB.T,1.04515273526614,0.743993951241296,0.835095251393291,Post-treatment
CD8.PD1.Tex_CD20.B,1.02322004720966,0.768882047727626,0.845770252500389,Post-treatment
CD8.GZMB.T_cDC,1.03311515142659,0.813401846675232,0.877198069943878,Post-treatment
CD79a.Plasma_CD8.TCF1.T,1.01917270095239,0.869620971529182,0.919791412194327,Post-treatment
CD8.GZMB.T_CD20.B,1.00793249302597,0.92767017512038,0.962676596823036,Post-treatment
CD20.B_cDC,1.00334058999576,0.962347432607828,0.97466178062136,Post-treatment
CD8.PD1.Tex_CD4.TCF1.T,1.00333383455346,0.97466178062136,0.97466178062136,Post-treatment
